A,B,C
15.310542399930021,0.0006795226214895031,293.0247606695992
15.471447836089558,0.009761315596127609,4209.289103732808
15.61461826306263,0.0294601280495901,12703.84045803284
15.793183202716731,0.05086159266500648,21932.612022936737
15.974394440605266,0.07201467060840207,31054.273915814018
16.13256965212243,0.13332551156880468,57492.8264094654
16.31281327507249,0.17058559923894534,73560.1771153755
16.531701040990974,0.19186217264002697,82735.09290413179
16.70918657416972,0.21946780740867455,94639.2359972404
16.882806667070998,0.2442199740091361,105312.90228116165
17.105708389330655,0.2766021776086144,119276.80452608189
17.342709116660767,0.3124177401593773,134721.2449505667
17.554512654952614,0.3708459439010893,159916.74231346682
17.77848456013206,0.4467028724722225,192627.880451832
17.833728724337487,0.4503856211663658,194215.9608491294
17.99327382570293,0.5772970322518554,248942.88925962255
17.997834578369783,0.5826747228585757,251261.8650422613
18.184663164415905,0.5913095947662526,254985.40741471897
18.23082455022251,0.7198221094535562,310402.76611390576
18.385021029551176,0.7323555255817384,315807.44455313537
18.46174750724715,0.8142473827475462,351120.97362182214
18.55825647635411,0.8275089242346803,356839.63536682696
18.669920361316983,0.8824642827582416,380537.5672231358
18.796270137546742,0.8938151730751467,385432.3151142468
18.939217677064573,0.9415411723903535,406012.7918854266
19.004617253897184,0.9804078480785827,422772.9378782149
19.218652418038342,0.9971623389588883,429997.8344822176
19.221395637713872,1.0500951422650615,452823.59705412923
19.445175891766695,1.0666035073322149,459942.35891704645
19.471685353421385,1.0986476323399474,473760.4744062342
19.66812253211916,1.1081680648090215,477865.88952781836
19.701462163531144,1.1195574911678126,482777.25498851965
19.960110228382216,1.1197707890205542,482869.23360744177
19.966024766765454,1.142375125869049,492616.7095348897
20.20423386855283,1.142381928347251,492619.642909709
20.219158562484765,1.1597573940487858,500112.31720442895
20.44362532199341,1.1912249152452619,513681.788736151
20.710807726919946,1.2194003429902784,525831.6388083234
20.95803210611897,1.2495364011089782,538826.9548412181
21.208934664285913,1.290719907535795,556586.168048573
21.517012721141782,1.3467442593895924,580745.0728068041
21.768951089487796,1.3864405074167454,597862.9482237261
22.081001729395012,1.4398958866386808,620914.0567632411
22.350436798125937,1.4790841736269171,637812.888461601
22.661867651035855,1.4925152315938455,643604.649356436
22.971657354322236,1.5019944466072095,647692.2906251521
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
