A;B;A;B;A;B;A;B;;;;
18787872;14;3447115;12;18.7878715;13.95;3.447114679;12.32;38.048;68;17.300000;13.47
18941833;14;3449402;12;18.94183274;13.95;3.449401826;12.32;38.048;69;17.300000;13.47
19192761;14;3583836;12;19.19276135;13.97;3.583835728;12.32;38.048;70;17.400000;13.48
19192770;14;3622091;12;19.19277024;14;3.622091135;12.33;38.048;71;17.400000;13.48
19198017;14;3798138;12;19.19801715;14.04;3.79813756;12.33;38.048;72;17.900000;13.51
19574372;14;3869031;12;19.57437238;14.05;3.869031482;12.33;38.048;73;17.900000;13.52
19708299;14;3936555;12;19.70829921;14.07;3.936554637;12.33;38.048;74;18.000000;13.52
19716311;14;4233497;12;19.71631058;14.07;4.233496528;12.33;38.048;75;18.400000;13.54
19718542;14;4495017;12;19.71854199;14.08;4.4950166;12.33;38.048;76;18.400000;13.58
20240027;14;4518654;12;20.24002652;14.09;4.518654351;12.33;38.048;77;18.400000;13.59
20307877;14;5150689;12;20.30787655;14.1;5.150689317;12.33;38.048;78;18.500000;13.59
20316757;14;5316568;12;20.31675731;14.12;5.316567556;12.33;38.048;79;18.500000;13.60
20316771;14;5716402;12;20.3167705;14.16;5.71640217;12.33;38.048;80;18.700000;13.61
20316799;14;5806915;12;20.31679947;14.17;5.806914852;12.34;38.048;81;18.900000;13.61
20317703;14;5889477;12;20.31770304;14.18;5.889477207;12.34;38.048;82;18.900000;13.61
20331314;14;5905523;12;20.33131372;14.18;5.905523424;12.34;38.048;83;18.900000;13.64
20786762;14;5944024;12;20.78676214;14.19;5.944024043;12.35;38.048;84;19.400000;13.64
20787290;14;6036437;12;20.78728956;14.2;6.036437297;12.35;38.048;85;20.000000;13.67
21051420;14;6038516;12;21.05141997;14.2;6.03851551;12.37;38.048;86;20.000000;13.68
21104183;14;6038838;12;21.10418275;14.21;6.038837934;12.43;38.048;87;20.000000;13.69
21677937;14;6040135;12;21.67793721;14.22;6.040134618;12.43;38.048;88;20.000000;13.72
21677986;14;6100306;12;21.67798616;14.26;6.1003064;12.43;38.048;89;20.000000;13.73
21683660;14;6283430;12;21.6836602;14.31;6.283430301;12.43;38.048;90;20.100000;13.73
22055684;14;6352647;12;22.05568366;14.33;6.352647121;12.44;38.048;91;20.700000;13.74
22058168;14;6352656;12;22.05816824;14.33;6.352656017;12.44;38.048;92;20.700000;13.74
22380852;14;6433442;12;22.38085151;14.33;6.433441868;12.44;38.048;93;20.700000;13.76
22392990;14;6695471;12;22.39298985;14.34;6.695471381;12.44;38.048;94;21.200000;13.77
22982127;14;6795443;12;22.98212659;14.36;6.795443215;12.44;38.048;95;21.700000;13.78
23015245;14;7233629;12;23.01524482;14.37;7.233628706;12.44;38.048;96;21.800000;13.83
23016328;14;7289708;12;23.01632779;14.37;7.289708253;12.44;38.048;97;21.800000;13.85
23020700;14;7697756;12;23.02069986;14.41;7.69775553;12.44;38.048;98;21.900000;13.86
23044338;14;7851717;12;23.04433761;14.42;7.85171677;12.44;38.048;99;22.500000;13.86
23591098;14;8067321;12;23.59109779;14.46;8.067321295;12.44;38.048;100;22.500000;13.90
23937573;14;8067326;12;23.93757262;14.48;8.067325758;12.44;38.048;101;22.800000;13.91
23965662;15;8195536;12;23.96566178;14.5;8.195536464;12.44;38.048;102;23.200000;13.91
24521167;15;9821009;12;24.52116735;14.51;9.821009442;12.45;38.048;103;23.200000;13.97
24524044;15;9902119;12;24.52404448;14.52;9.902119356;12.45;38.048;104;23.300000;13.98
24524147;15;10088397;12;24.52414739;14.52;10.08839695;12.45;38.048;105;23.400000;13.99
24533632;15;10109163;12;24.53363203;14.52;10.10916324;12.45;38.048;106;24.000000;14.00
24554398;15;10142152;12;24.55439832;14.56;10.14215186;12.48;38.048;107;24.000000;14.00
25077290;15;10158753;12;25.07728953;14.58;10.15875336;12.48;38.048;108;24.000000;14.00
25077297;15;10161378;12;25.07729698;14.61;10.16137829;12.48;38.048;109;24.000000;14.02
25088157;15;10161437;12;25.08815654;14.62;10.16143666;12.48;38.048;110;24.000000;14.03
25100541;15;10161473;13;25.10054117;14.63;10.16147305;12.54;;;24.400000;14.05
25432163;15;10336788;13;25.43216293;14.63;10.33678758;12.54;;;24.500000;14.05
25433273;15;10475726;13;25.43327293;14.64;10.47572601;12.54;;;24.500000;14.09
26180109;15;10626156;13;26.18010906;14.65;10.62615561;12.54;;;24.700000;14.09
26195764;15;10846585;13;26.19576354;14.67;10.8465846;12.54;;;24.700000;14.09
26507421;15;10899228;13;26.50742095;14.72;10.89922791;12.54;;;24.700000;14.11
26599834;15;11033155;13;26.59983421;14.75;11.03315475;12.54;;;24.700000;14.12
26608228;15;13081678;13;26.60822829;14.75;13.08167842;12.54;;;24.800000;14.14
26614993;15;13097333;13;26.61499335;14.75;13.0973329;12.54;;;25.300000;14.14
27000337;15;13118822;13;27.00033714;14.78;13.1188219;12.54;;;25.300000;14.15
27576577;15;13590126;13;27.57657651;14.79;13.59012617;12.55;;;25.300000;14.16
27578218;15;13592372;13;27.57821803;14.8;13.59237161;12.55;;;25.300000;14.17
27599170;15;13740197;13;27.59917047;14.82;13.74019652;12.55;;;25.400000;14.18
27599433;15;13898822;13;27.59943314;14.84;13.898822;12.55;;;25.900000;14.19
27608818;15;14052617;13;27.60881784;14.84;14.05261715;12.55;;;25.900000;14.19
27791942;15;14319500;13;27.79194174;14.84;14.31949955;12.55;;;25.900000;14.20
27791945;15;14435343;13;27.79194543;14.86;14.43534302;12.55;;;25.900000;14.21
27925900;15;14912029;13;27.92590003;14.87;14.91202932;12.55;;;25.900000;14.22
27937587;15;15667759;13;27.93758707;14.9;15.66775895;12.55;;;26.000000;14.22
28584098;15;15787370;13;28.58409843;14.93;15.78736988;12.56;;;26.100000;14.24
28617379;15;15953470;13;28.6173787;14.94;15.95347005;12.56;;;26.100000;14.24
28961473;15;15995249;13;28.96147252;14.94;15.99524851;12.57;;;26.100000;14.25
28963841;15;15995591;13;28.96384104;14.95;15.99559092;12.58;;;26.100000;14.26
28963916;15;15995604;13;28.96391614;14.98;15.99560411;12.58;;;26.100000;14.27
29111741;15;16000966;13;29.11174105;14.98;16.00096588;12.6;;;26.800000;14.28
29120121;15;16000975;13;29.12012133;15;16.00097468;12.62;;;27.000000;14.28
29120150;15;16003616;13;29.12015035;15;16.00361619;12.63;;;27.000000;14.32
29121403;15;16008863;13;29.12140267;15;16.0088631;12.65;;;27.400000;14.33
29234892;15;16222274;13;29.23489211;15.01;16.22227354;12.65;;;27.400000;14.34
29235133;15;16367367;13;29.23513285;15.02;16.36736742;12.65;;;27.400000;14.34
29262660;15;16418944;13;29.26266006;15.02;16.41894369;12.65;;;27.500000;14.36
29262664;15;17234369;13;29.2626637;15.02;17.23436861;12.65;;;27.500000;14.36
29264475;15;17452617;13;29.26447451;15.03;17.45261666;12.65;;;27.500000;14.36
29264932;15;17535452;13;29.26493205;15.05;17.53545199;12.66;;;27.500000;14.37
29702420;15;17568280;13;29.70242001;15.09;17.56828029;12.66;;;27.600000;14.37
29806564;15;17654860;13;29.80656355;15.1;17.65485966;12.66;;;27.600000;14.38
30093070;15;17671191;13;30.09307003;15.1;17.67119135;12.66;;;27.800000;14.40
30193150;15;17797677;13;30.19314951;15.12;17.79767718;12.66;;;27.800000;14.41
30201854;15;18007734;13;30.20185389;15.14;18.00773435;12.66;;;27.800000;14.41
30281587;15;19994302;13;30.28158729;15.15;19.99430197;12.66;;;28.400000;14.42
30282546;15;20169329;13;30.28254598;15.18;20.16932914;12.66;;;28.400000;14.43
30286058;15;20355674;13;30.28605835;15.18;20.35567435;12.66;;;28.400000;14.44
30288070;15;20782942;13;30.28806995;15.2;20.78294233;12.66;;;28.400000;14.46
30416283;15;21047073;13;30.4162831;15.22;21.04707274;12.66;;;28.500000;14.46
30424391;15;21850502;13;30.42439084;15.22;21.85050189;12.67;;;28.600000;14.48
30424533;15;22027311;13;30.42453343;15.23;22.02731077;12.67;;;28.900000;14.48
30822127;15;22127390;13;30.82212737;15.25;22.12739025;12.67;;;28.900000;14.49
30822176;15;22148343;13;30.82217633;15.26;22.14834269;12.67;;;29.000000;14.50
30872733;15;22148532;13;30.87273331;15.26;22.14853174;12.67;;;29.100000;14.50
31221513;15;22195683;13;31.22151296;15.27;22.19568293;12.67;;;29.100000;14.52
31238649;15;22197272;13;31.23864935;15.29;22.19727183;12.7;;;29.200000;14.53
31238748;15;22197284;13;31.23874764;15.3;22.19728358;12.72;;;29.200000;14.53
31343354;15;22197301;13;31.34335395;15.3;22.19730102;12.74;;;29.300000;14.55
31354440;15;22356047;13;31.35444037;15.32;22.35604712;12.76;;;29.900000;14.56
31366933;15;22389327;13;31.3669329;15.33;22.38932739;12.77;;;29.900000;14.57
31503795;15;22476559;13;31.50379488;15.36;22.47655876;12.77;;;29.900000;14.57
31503798;15;22495679;13;31.50379845;15.37;22.49567898;12.77;;;29.900000;14.57
31503862;15;23826054;13;31.50386207;15.37;23.82605412;12.77;;;29.900000;14.58
31568700;15;23826958;13;31.56869995;15.38;23.82695769;12.77;;;29.900000;14.58
31571407;15;23934925;13;31.57140711;15.39;23.93492486;12.77;;;30.000000;14.59
32031313;15;24114135;13;32.03131316;15.4;24.11413536;12.77;;;30.100000;14.60
32034375;15;24330853;13;32.03437509;15.41;24.3308535;12.77;;;30.100000;14.61
32054083;15;24381790;13;32.05408296;15.42;24.3817902;12.77;;;30.100000;14.61
32510731;15;24494116;13;32.51073122;15.43;24.49411643;12.77;;;30.100000;14.62
32597364;15;24863756;13;32.59736362;15.45;24.86375578;12.78;;;30.100000;14.62
32597563;15;24955152;13;32.59756336;15.45;24.95515185;12.78;;;30.200000;14.63
32598141;15;25162482;13;32.59814062;15.45;25.16248209;12.78;;;30.200000;14.63
32600938;15;25163546;13;32.60093827;15.47;25.16354647;12.78;;;30.600000;14.63
32605612;15;25486230;13;32.60561173;15.48;25.48622974;12.78;;;30.600000;14.64
32607151;15;26459373;13;32.60715056;15.48;26.45937308;12.78;;;30.600000;14.64
32607935;15;26871993;13;32.60793499;15.49;26.87199289;12.78;;;30.600000;14.65
32609299;15;26973942;13;32.60929947;15.5;26.97394245;12.78;;;30.600000;14.65
32701263;16;27024969;13;32.70126274;15.51;27.02496869;12.78;;;30.800000;14.65
32733743;16;27075526;13;32.73374316;15.53;27.07552568;12.78;;;30.800000;14.67
32736014;16;27145130;13;32.73601364;15.53;27.14512996;12.79;;;30.800000;14.67
32737129;16;27148219;13;32.73712934;15.54;27.14821902;12.79;;;30.800000;14.67
32737413;16;27148589;13;32.73741321;15.54;27.1485892;12.8;;;30.900000;14.68
32740109;16;27151686;13;32.74010924;15.55;27.15168553;12.8;;;30.900000;14.69
32742078;16;27337400;13;32.74207752;15.56;27.33740033;12.8;;;30.900000;14.69
