A;B;A;B;A;B;A;B;;;;
103006199;20;107489122;16;103.0061991;20.45;107.4891216;16.03;;;110.000000;18.66
103006219;20;107503854;16;103.0062186;20.45;107.5038543;16.03;;;110.000000;18.66
103020739;20;107503881;16;103.0207389;20.45;107.5038815;16.03;;;110.000000;18.66
103023390;20;107613911;16;103.0233901;20.45;107.6139108;16.03;;;110.000000;18.67
103041891;20;107638313;16;103.041891;20.45;107.6383132;16.03;;;110.000000;18.67
103042568;20;107638320;16;103.0425677;20.45;107.63832;16.04;;;110.000000;18.67
103045996;20;107741544;16;103.0459956;20.45;107.7415443;16.04;;;110.000000;18.67
103079185;20;107748998;16;103.079185;20.46;107.7489983;16.04;;;110.000000;18.67
103079240;20;107767372;16;103.0792399;20.47;107.767372;16.04;;;111.000000;18.67
103121018;20;107767660;16;103.1210184;20.47;107.7676599;16.04;;;111.000000;18.67
103214408;20;107775441;16;103.214408;20.48;107.7754409;16.04;;;111.000000;18.68
103324690;20;107827663;16;103.3246901;20.48;107.8276631;16.04;;;111.000000;18.68
103325138;20;107827672;16;103.325138;20.48;107.8276723;16.04;;;111.000000;18.68
104054190;20;107856839;16;104.0541903;20.48;107.8568393;16.05;;;111.000000;18.68
104073790;20;107857609;16;104.0737897;20.48;107.8576092;16.05;;;111.000000;18.68
104153953;20;107889405;16;104.1539529;20.48;107.8894054;16.05;;;111.000000;18.68
104154295;20;107890403;16;104.1542951;20.48;107.890403;16.05;;;111.000000;18.69
104173095;20;107890406;16;104.1730947;20.49;107.8904058;16.05;;;111.000000;18.69
104180900;20;107892023;16;104.1809;20.49;107.8920234;16.05;;;111.000000;18.69
104183567;20;107893507;16;104.183567;20.5;107.8935075;16.05;;;111.000000;18.69
104183718;20;107979529;16;104.1837181;20.5;107.9795295;16.06;;;111.000000;18.69
104185132;21;107983252;16;104.1851318;20.5;107.9832523;16.07;;;111.000000;18.69
104185159;21;107983345;16;104.1851595;20.5;107.9833447;16.07;;;111.000000;18.69
104197493;21;107987603;16;104.1974928;20.51;107.9876028;16.07;;;111.000000;18.69
104240600;21;107996696;16;104.2405998;20.51;107.9966962;16.07;;;111.000000;18.69
104291722;21;107997449;16;104.291722;20.51;107.9974488;16.07;;;111.000000;18.70
104309782;21;108015183;16;104.3097819;20.51;108.0151826;16.07;;;111.000000;18.70
104310365;21;108017701;16;104.3103645;20.51;108.0177007;16.08;;;111.000000;18.71
104316414;21;108019345;16;104.3164135;20.51;108.0193447;16.08;;;111.000000;18.71
104337547;21;108020255;16;104.3375471;20.52;108.0202551;16.08;;;111.000000;18.71
104337550;21;108020426;16;104.3375505;20.52;108.0204256;16.08;;;111.000000;18.71
104337558;21;108047374;16;104.3375577;20.52;108.0473738;16.08;;;111.000000;18.71
104948854;21;108047412;16;104.9488538;20.52;108.0474121;16.08;;;111.000000;18.72
104969062;21;108047705;16;104.9690616;20.52;108.0477047;16.08;;;111.000000;18.72
104970741;21;108054613;16;104.9707414;20.52;108.0546128;16.08;;;111.000000;18.72
105029369;21;108054616;16;105.0293692;20.52;108.0546162;16.08;;;111.000000;18.72
105100133;21;108058242;16;105.1001333;20.52;108.0582418;16.09;;;111.000000;18.72
105100138;21;108058779;16;105.1001382;20.52;108.0587788;16.09;;;111.000000;18.73
105106907;21;108068800;16;105.1069069;20.52;108.0688004;16.1;;;111.000000;18.73
105108284;21;108068808;16;105.1082835;20.53;108.0688081;16.1;;;111.000000;18.73
105117535;21;108069074;16;105.117535;20.53;108.0690735;16.1;;;111.000000;18.73
105119152;21;108069301;16;105.1191522;20.53;108.0693008;16.1;;;111.000000;18.73
105124785;21;108069392;16;105.1247847;20.53;108.0693916;16.1;;;111.000000;18.73
105125823;21;108090168;16;105.1258228;20.53;108.0901676;16.11;;;111.000000;18.73
105125838;21;108090877;16;105.1258381;20.54;108.0908767;16.11;;;111.000000;18.73
105151034;21;108101522;16;105.1510336;20.54;108.1015215;16.11;;;111.000000;18.73
105153818;21;108103855;16;105.1538176;20.54;108.1038545;16.11;;;112.000000;18.73
105397075;21;108116309;16;105.3970748;20.54;108.1163085;16.11;;;112.000000;18.73
105400756;21;108160532;16;105.4007556;20.55;108.1605323;16.11;;;112.000000;18.73
105478743;21;108160568;16;105.4787426;20.55;108.1605682;16.11;;;112.000000;18.73
105478754;21;108161808;16;105.4787538;20.55;108.1618084;16.12;;;112.000000;18.73
105478766;21;108164334;16;105.478766;20.55;108.164334;16.12;;;112.000000;18.73
105506258;21;108170110;16;105.5062577;20.56;108.1701098;16.12;;;112.000000;18.74
105508073;21;108189644;16;105.508073;20.56;108.1896439;16.12;;;112.000000;18.74
105522742;21;108240064;16;105.5227416;20.56;108.2400638;16.12;;;112.000000;18.74
105558980;21;108243423;16;105.5589797;20.56;108.2434229;16.12;;;112.000000;18.74
105567285;21;108243581;16;105.5672845;20.56;108.2435814;16.12;;;112.000000;18.74
105627151;21;108243600;16;105.6271513;20.56;108.2435997;16.12;;;112.000000;18.74
105631368;21;108314836;16;105.631368;20.57;108.3148365;16.12;;;112.000000;18.74
105664256;21;108345769;16;105.6642563;20.57;108.3457687;16.12;;;112.000000;18.74
105664284;21;108347337;16;105.6642845;20.57;108.3473365;16.12;;;112.000000;18.75
105751450;21;108348107;16;105.7514498;20.57;108.3481066;16.12;;;112.000000;18.75
105751498;21;108350557;16;105.751498;20.57;108.3505567;16.12;;;112.000000;18.75
105751503;21;108571927;16;105.7515025;20.57;108.5719269;16.12;;;112.000000;18.75
105756422;21;108601943;16;105.7564217;20.57;108.6019433;16.12;;;112.000000;18.75
105841454;21;108602832;16;105.8414541;20.57;108.6028321;16.12;;;112.000000;18.75
105901280;21;108609366;16;105.9012796;20.58;108.609366;16.12;;;113.000000;18.75
105905115;21;108691161;16;105.9051155;20.58;108.6911614;16.12;;;113.000000;18.75
105905123;21;108696892;16;105.9051227;20.58;108.6968924;16.12;;;113.000000;18.75
106215615;21;108746243;16;106.215615;20.58;108.7462427;16.12;;;113.000000;18.75
106244286;21;108793234;16;106.2442864;20.58;108.7932337;16.12;;;113.000000;18.75
106244652;21;108851253;16;106.2446521;20.58;108.8512525;16.13;;;113.000000;18.75
106278704;21;108851401;16;106.2787036;20.58;108.851401;16.13;;;113.000000;18.75
106292413;21;108963059;16;106.2924129;20.59;108.9630586;16.13;;;113.000000;18.75
106312554;21;109025288;16;106.3125537;20.59;109.0252883;16.13;;;113.000000;18.76
106312561;21;109025437;16;106.3125609;20.59;109.0254375;16.13;;;113.000000;18.76
106378000;21;109405337;16;106.3780003;20.59;109.4053366;16.13;;;113.000000;18.76
106398487;21;109431775;16;106.3984874;20.6;109.4317751;16.13;;;113.000000;18.76
106402429;21;109458538;16;106.4024294;20.6;109.4585385;16.13;;;113.000000;18.76
106482874;21;109714800;16;106.482874;20.6;109.7148;16.13;;;113.000000;18.77
106485681;21;109736194;16;106.4856806;20.6;109.7361944;16.13;;;113.000000;18.77
106498003;21;109742576;16;106.498003;20.6;109.7425761;16.14;;;113.000000;18.77
106527610;21;109756189;16;106.5276096;20.61;109.7561891;16.14;;;113.000000;18.77
106573245;21;109866390;16;106.5732446;20.61;109.8663903;16.14;;;113.000000;18.77
106658049;21;110501394;16;106.6580487;20.61;110.5013937;16.14;;;113.000000;18.77
106661774;21;110662020;16;106.6617742;20.61;110.6620196;16.14;;;113.000000;18.77
106682001;21;110684022;16;106.6820011;20.61;110.6840216;16.14;;;113.000000;18.77
106764836;21;110684034;16;106.7648365;20.61;110.684034;16.14;;;113.000000;18.77
106765531;21;110760147;16;106.7655305;20.61;110.7601466;16.14;;;113.000000;18.77
106766823;21;110772871;16;106.7668234;20.62;110.7728706;16.14;;;113.000000;18.77
106766832;21;110778116;16;106.7668317;20.62;110.7781162;16.14;;;113.000000;18.77
106767643;21;110781424;16;106.7676427;20.62;110.7814235;16.14;;;113.000000;18.77
106773607;21;110782493;16;106.773607;20.62;110.782493;16.14;;;113.000000;18.77
106773879;21;110790711;16;106.773879;20.62;110.7907111;16.14;;;113.000000;18.78
106795017;21;110790724;16;106.7950171;20.62;110.7907243;16.14;;;113.000000;18.78
106795338;21;110794342;16;106.7953381;20.63;110.7943417;16.15;;;113.000000;18.78
106795341;21;110820051;16;106.7953415;20.63;110.8200511;16.15;;;113.000000;18.78
107074992;21;110933914;16;107.0749917;20.63;110.9339143;16.15;;;113.000000;18.78
107075229;21;110939079;16;107.0752293;20.63;110.9390788;16.15;;;113.000000;18.78
107077146;21;110941314;16;107.0771458;20.63;110.941314;16.15;;;113.000000;18.78
107077149;21;110973242;16;107.0771489;20.64;110.9732417;16.15;;;113.000000;18.78
107077336;21;110980645;16;107.0773362;20.64;110.9806449;16.15;;;113.000000;18.79
107077395;21;111014587;16;107.077395;20.64;111.014587;16.15;;;113.000000;18.79
107576673;21;111031103;16;107.5766731;20.64;111.0311028;16.15;;;113.000000;18.79
107577161;21;111031907;16;107.5771608;20.64;111.0319075;16.15;;;113.000000;18.79
107593224;21;111032564;16;107.5932244;20.64;111.0325644;16.15;;;113.000000;18.79
107595141;21;111046175;16;107.5951405;20.65;111.0461747;16.15;;;113.000000;18.79
107631766;21;111047018;16;107.6317657;20.65;111.0470182;16.15;;;113.000000;18.79
107632384;21;111050130;16;107.6323844;20.65;111.05013;16.15;;;113.000000;18.79
107632652;21;111051661;16;107.6326522;20.65;111.0516609;16.16;;;113.000000;18.80
107632698;21;111058445;16;107.6326977;20.66;111.0584449;16.16;;;113.000000;18.80
107638081;21;111063511;16;107.6380813;20.66;111.0635112;16.16;;;113.000000;18.80
107645621;21;111069616;16;107.6456214;20.66;111.069616;16.16;;;113.000000;18.80
107647030;21;111087687;16;107.6470301;20.66;111.0876867;16.17;;;113.000000;18.80
107650948;21;111091801;16;107.6509481;20.66;111.0918009;16.17;;;113.000000;18.80
107659994;21;111093457;16;107.6599942;20.67;111.0934574;16.17;;;113.000000;18.80
107660389;21;111102468;16;107.6603889;20.67;111.1024683;16.17;;;113.000000;18.80
107661188;21;111108374;16;107.6611883;20.67;111.1083738;16.17;;;113.000000;18.80
108623722;21;111113758;16;108.6237225;20.67;111.1137582;16.17;;;113.000000;18.80
108623753;21;111113823;16;108.6237531;20.67;111.1138226;16.17;;;113.000000;18.80
108626979;21;111114613;16;108.6269785;20.67;111.1146131;16.17;;;113.000000;18.81
108628655;21;111116655;16;108.6286551;20.67;111.1166553;16.18;;;113.000000;18.81
108643643;21;111119182;16;108.643643;20.68;111.1191818;16.18;;;113.000000;18.81
108652849;21;111123410;16;108.6528491;20.68;111.1234103;16.18;;;113.000000;18.81
108656244;21;111147885;16;108.6562437;20.69;111.1478847;16.18;;;113.000000;18.81
108680893;21;111171183;16;108.6808929;20.69;111.1711825;16.18;;;114.000000;18.82
108723341;21;111172619;16;108.7233414;20.69;111.1726188;16.18;;;114.000000;18.82
108731561;21;111179169;16;108.7315611;20.69;111.1791694;16.19;;;114.000000;18.82
108806851;21;111182834;16;108.8068509;20.69;111.1828338;16.19;;;114.000000;18.82
108820197;21;111182857;16;108.8201971;20.7;111.1828566;16.19;;;114.000000;18.82
108825973;21;111189256;16;108.8259729;20.7;111.1892563;16.19;;;114.000000;18.82
108841199;21;111223519;16;108.8411988;20.7;111.2235186;16.19;;;114.000000;18.82
108844207;21;111223914;16;108.8442071;20.71;111.2239138;16.19;;;114.000000;18.82
108857988;21;111229890;16;108.8579879;20.71;111.2298901;16.19;;;114.000000;18.82
108858213;21;111230297;16;108.8582134;20.71;111.2302974;16.19;;;114.000000;18.83
108858280;21;111231279;16;108.8582802;20.72;111.2312793;16.19;;;114.000000;18.83
108858431;21;111231671;16;108.8584311;20.72;111.2316708;16.19;;;114.000000;18.83
108956009;21;111232292;16;108.9560093;20.72;111.2322916;16.19;;;114.000000;18.83
108956705;21;111252940;16;108.9567054;20.72;111.2529397;16.19;;;114.000000;18.83
108972091;21;111314785;16;108.9720911;20.72;111.3147851;16.2;;;114.000000;18.83
108974188;21;111314954;16;108.9741881;20.72;111.3149544;16.2;;;114.000000;18.83
108988649;21;111314964;16;108.9886491;20.73;111.3149635;16.2;;;114.000000;18.83
109749697;21;111315303;16;109.7496971;20.73;111.3153034;16.2;;;115.000000;18.83
109774826;21;111403492;16;109.7748258;20.73;111.4034917;16.2;;;115.000000;18.83
109776575;21;111403676;16;109.7765753;20.73;111.4036765;16.2;;;115.000000;18.83
109776837;21;111447068;16;109.7768369;20.73;111.4470683;16.2;;;115.000000;18.83
109777598;21;111448120;16;109.7775982;20.73;111.4481201;16.2;;;115.000000;18.84
109777827;21;111448151;16;109.7778272;20.73;111.4481513;16.2;;;115.000000;18.84
109853940;21;111448204;16;109.8539398;20.73;111.4482035;16.2;;;115.000000;18.84
109863530;21;111448631;16;109.8635295;20.74;111.448631;16.2;;;115.000000;18.84
109875930;21;111448647;16;109.87593;20.74;111.4486467;16.2;;;115.000000;18.84
109886170;21;111598792;16;109.8861704;20.74;111.5987921;16.2;;;115.000000;18.85
109886322;21;111676359;16;109.8863224;20.74;111.6763595;16.2;;;115.000000;18.86
109886334;21;111693826;16;109.8863336;20.74;111.693826;16.2;;;115.000000;18.86
109889951;21;111695676;16;109.889951;20.74;111.6956764;16.21;;;115.000000;18.86
109890171;21;111696688;16;109.8901709;20.74;111.6966885;16.21;;;115.000000;18.86
109897574;21;111696831;16;109.8975741;20.74;111.6968314;16.21;;;115.000000;18.87
109897891;21;111697281;16;109.8978909;20.75;111.6972805;16.21;;;115.000000;18.87
109902702;21;111730233;16;109.9027023;20.75;111.7302327;16.21;;;115.000000;18.88
109921179;21;111730805;16;109.9211788;20.75;111.7308045;16.21;;;115.000000;18.88
109939924;21;111731318;16;109.9399244;20.75;111.7313176;16.21;;;115.000000;18.88
109939969;21;111744530;16;109.9399688;20.75;111.7445304;16.21;;;115.000000;18.88
110000358;21;111770464;16;110.0003579;20.75;111.770464;16.21;;;115.000000;18.88
110000369;21;111773220;16;110.0003687;20.75;111.7732196;16.22;;;115.000000;18.88
110010976;21;111791930;16;110.0109762;20.76;111.7919299;16.22;;;115.000000;18.89
110013716;21;111802018;16;110.0137158;20.76;111.8020185;16.22;;;115.000000;18.89
110020500;21;111802696;16;110.0204998;20.76;111.8026956;16.22;;;115.000000;18.89
110256780;21;111802833;16;110.25678;20.76;111.8028334;16.22;;;115.000000;18.90
110385110;21;111802857;16;110.3851096;20.76;111.8028571;16.22;;;115.000000;18.90
110389876;21;111802946;16;110.3898757;20.76;111.8029459;16.23;;;115.000000;18.90
110402507;21;111803085;16;110.4025074;20.77;111.803085;16.23;;;115.000000;18.90
110449202;21;111803739;16;110.4492016;20.77;111.8037393;16.24;;;115.000000;18.90
110453316;21;111803753;16;110.4533158;20.77;111.8037533;16.24;;;115.000000;18.90
110685787;21;111803979;16;110.685787;20.77;111.8039788;16.24;;;116.000000;18.90
110723646;21;111809124;16;110.7236459;20.78;111.8091244;16.24;;;116.000000;18.90
110795021;21;111809638;16;110.7950215;20.78;111.8096378;16.24;;;116.000000;18.91
110833638;21;111816135;16;110.833638;20.78;111.8161346;16.24;;;116.000000;18.91
110908405;21;111816611;16;110.9084051;20.78;111.8166111;16.24;;;116.000000;18.91
110931057;21;111816613;16;110.9310568;20.78;111.816613;16.25;;;116.000000;18.91
110933099;21;111818876;16;110.933099;20.78;111.8188762;16.25;;;116.000000;18.91
110967595;21;111818904;16;110.9675946;20.78;111.8189036;16.25;;;116.000000;18.91
110969088;21;111823309;16;110.969088;20.78;111.8233092;16.26;;;116.000000;18.91
110987612;21;111823311;16;110.9876121;20.78;111.8233111;16.26;;;116.000000;18.92
111101816;21;111827208;16;111.1018163;20.79;111.8272084;16.26;;;116.000000;18.92
111101879;21;111827878;16;111.101879;20.79;111.8278779;16.26;;;116.000000;18.92
111137217;21;111827885;16;111.1372168;20.79;111.8278847;16.27;;;116.000000;18.92
111137267;21;111827975;16;111.1372669;20.79;111.8279753;16.27;;;116.000000;18.92
111137978;21;111828044;16;111.1379785;20.79;111.8280439;16.27;;;116.000000;18.92
111162133;21;111828050;16;111.1621328;20.79;111.8280496;16.27;;;116.000000;18.92
111223467;21;111836866;16;111.2234667;20.79;111.8368661;16.27;;;116.000000;18.93
111276007;21;111836884;16;111.2760075;20.79;111.836884;16.27;;;116.000000;18.93
111276031;21;111837807;16;111.276031;20.79;111.8378071;16.27;;;116.000000;18.93
111279789;21;111842927;16;111.2797893;20.79;111.8429268;16.27;;;116.000000;18.93
111279892;21;111843912;16;111.2798922;20.79;111.843912;16.27;;;116.000000;18.94
111381662;21;111845903;16;111.3816617;20.79;111.8459027;16.27;;;116.000000;18.94
111414373;21;111847283;16;111.4143729;20.8;111.847283;16.27;;;116.000000;18.94
111444345;21;111869051;16;111.4443445;20.8;111.8690506;16.27;;;116.000000;18.94
111448608;21;111870562;16;111.4486081;20.8;111.8705615;16.27;;;116.000000;18.94
111448611;21;111870586;16;111.4486105;20.8;111.8705859;16.28;;;116.000000;18.94
111462172;21;111870616;16;111.4621722;20.81;111.8706162;16.28;;;116.000000;18.94
111500458;21;111890157;16;111.5004581;20.82;111.8901569;16.28;;;116.000000;18.95
111602408;21;111890793;16;111.6024076;20.82;111.8907926;16.29;;;117.000000;18.95
111602415;21;111890794;16;111.6024148;20.82;111.8907945;16.29;;;117.000000;18.95
111614611;21;111996402;16;111.6146114;20.82;111.9964021;16.29;;;117.000000;18.95
111615648;21;111998762;16;111.6156484;20.82;111.9987623;16.29;;;117.000000;18.95
111617596;21;112008251;16;111.6175956;20.82;112.0082505;16.29;;;117.000000;18.95
111622338;21;112008294;16;111.6223376;20.83;112.0082938;16.29;;;117.000000;18.95
111622344;21;112008478;16;111.6223436;20.83;112.0084777;16.29;;;117.000000;18.95
111622361;21;112008483;16;111.622361;20.84;112.0084834;16.3;;;117.000000;18.95
111634261;21;112008513;16;111.6342605;20.84;112.0085127;16.3;;;117.000000;18.96
111634343;21;112062007;16;111.6343426;20.84;112.0620066;16.3;;;117.000000;18.96
111634694;21;112117402;16;111.6346936;20.85;112.1174016;16.3;;;117.000000;18.96
111634699;21;112126237;16;111.634699;20.85;112.1262371;16.3;;;117.000000;18.96
111637388;21;112131310;16;111.6373884;20.85;112.1313097;16.3;;;117.000000;18.96
111637418;21;112131410;16;111.6374178;20.85;112.1314097;16.3;;;117.000000;18.96
111640603;21;112134832;16;111.6406028;20.86;112.1348323;16.3;;;117.000000;18.96
111694175;21;112166175;16;111.6941747;20.86;112.166175;16.31;;;117.000000;18.96
111701991;21;112167032;16;111.701991;20.86;112.1670315;16.31;;;117.000000;18.96
111702002;21;112178671;16;111.7020022;20.86;112.1786714;16.31;;;117.000000;18.97
111787379;21;112188610;16;111.7873787;20.87;112.1886098;16.31;;;117.000000;18.97
111790782;21;112195708;16;111.7907823;20.87;112.1957076;16.31;;;117.000000;18.97
111792370;21;112195846;16;111.7923696;20.87;112.195846;16.31;;;117.000000;18.97
111792378;21;112197274;16;111.7923779;20.87;112.1972738;16.31;;;117.000000;18.97
112137639;21;112197300;16;112.1376386;20.87;112.1973003;16.31;;;117.000000;18.97
112650916;21;112270268;16;112.6509165;20.87;112.2702677;16.31;;;117.000000;18.97
112651251;21;112305224;16;112.6512514;20.87;112.3052245;16.31;;;117.000000;18.97
113927239;21;112342706;16;113.9272386;20.87;112.3427064;16.31;;;117.000000;18.97
113962350;21;112358774;16;113.9623502;20.87;112.3587738;16.31;;;117.000000;18.97
113984223;21;112390228;16;113.984223;20.88;112.390228;16.31;;;117.000000;18.98
113989318;21;112675537;16;113.9893184;20.88;112.6755375;16.31;;;117.000000;18.98
114003258;21;113121197;16;114.0032582;20.88;113.121197;16.31;;;117.000000;18.98
114017670;21;113124231;16;114.0176698;20.88;113.1242307;16.32;;;117.000000;18.98
114023259;21;113124250;16;114.0232593;20.88;113.1242503;16.32;;;117.000000;18.98
114023467;21;113124644;16;114.0234671;20.88;113.1246443;16.32;;;117.000000;18.98
114023472;21;113129065;16;114.0234719;20.89;113.1290649;16.32;;;117.000000;18.98
114069974;21;113131252;16;114.0699745;20.89;113.1312515;16.32;;;117.000000;18.98
114073872;21;113138029;16;114.0738718;20.89;113.1380285;16.32;;;117.000000;18.98
114074158;21;113139277;16;114.0741583;20.9;113.139277;16.32;;;117.000000;18.99
114170599;21;113152115;16;114.1705989;20.91;113.1521147;16.32;;;118.000000;18.99
114173448;21;113152193;16;114.1734476;20.91;113.1521925;16.32;;;118.000000;18.99
114173706;21;113196590;16;114.1737061;20.91;113.1965897;16.32;;;118.000000;18.99
114173919;21;113317175;16;114.1739186;20.91;113.3171747;16.32;;;118.000000;18.99
114173931;21;113484465;16;114.1739306;20.91;113.484465;16.32;;;118.000000;18.99
114175033;21;113584875;16;114.1750334;20.91;113.5848752;16.32;;;118.000000;18.99
114181004;21;114063161;16;114.1810044;20.91;114.0631614;16.32;;;118.000000;18.99
114182608;21;114072691;16;114.1826076;20.91;114.0726909;16.32;;;118.000000;18.99
114182610;21;114125079;16;114.1826099;20.91;114.1250795;16.32;;;118.000000;18.99
114191393;21;114125391;16;114.1913935;20.91;114.1253912;16.32;;;118.000000;18.99
114195009;21;114131041;16;114.195009;20.92;114.1310405;16.32;;;118.000000;18.99
114195717;21;114353607;16;114.1957173;20.92;114.3536074;16.32;;;118.000000;19.00
114195912;21;114385759;16;114.1959119;20.92;114.3857592;16.32;;;118.000000;19.00
114204804;21;114389840;16;114.2048041;20.92;114.3898396;16.33;;;118.000000;19.00
114232268;21;114419396;16;114.232268;20.92;114.4193958;16.33;;;118.000000;19.00
114304793;21;114419399;16;114.304793;20.92;114.4193992;16.33;;;118.000000;19.00
114306190;21;114457748;16;114.3061901;20.93;114.4577477;16.33;;;118.000000;19.00
114313410;21;114499737;16;114.3134104;20.93;114.4997373;16.33;;;118.000000;19.00
114313413;21;114501862;16;114.3134132;20.93;114.5018618;16.33;;;119.000000;19.01
114319452;21;114519492;16;114.3194517;20.93;114.5194915;16.33;;;119.000000;19.01
114321814;21;114521275;16;114.3218138;20.93;114.5212753;16.33;;;119.000000;19.01
114342232;21;114521546;16;114.3422321;20.94;114.5215459;16.33;;;119.000000;19.01
114342307;21;114537876;16;114.3423069;20.94;114.5378756;16.33;;;119.000000;19.01
114359009;21;114537912;16;114.3590088;20.94;114.5379116;16.33;;;119.000000;19.01
114359025;21;114538008;16;114.3590254;20.94;114.5380081;16.33;;;119.000000;19.01
114362198;21;114561129;16;114.362198;20.94;114.5611287;16.33;;;119.000000;19.01
114367564;21;114640872;16;114.367564;20.94;114.6408725;16.33;;;119.000000;19.01
114368471;21;114647976;16;114.3684711;20.94;114.6479757;16.33;;;119.000000;19.01
114453739;21;114670473;16;114.4537388;20.94;114.6704732;16.34;;;119.000000;19.01
114480791;21;114670479;16;114.4807913;20.94;114.6704793;16.34;;;119.000000;19.02
114523510;21;114670528;16;114.5235102;20.94;114.6705278;16.34;;;119.000000;19.02
115523913;21;114670543;16;115.5239127;20.95;114.670543;16.34;;;119.000000;19.02
115538724;21;114680124;16;115.538724;20.95;114.6801243;16.34;;;119.000000;19.02
115538781;21;114693135;16;115.5387809;20.95;114.6931348;16.34;;;119.000000;19.02
115591520;21;114698259;16;115.59152;20.95;114.6982594;16.34;;;119.000000;19.02
115592089;21;114729415;16;115.5920889;20.96;114.7294146;16.34;;;119.000000;19.02
115600441;21;114737121;16;115.6004407;20.96;114.7371213;16.34;;;119.000000;19.02
115633059;21;114737278;16;115.6330593;20.96;114.7372777;16.34;;;119.000000;19.02
115638298;21;114782514;16;115.6382985;20.96;114.7825143;16.34;;;119.000000;19.03
115643652;21;114782516;16;115.6436524;20.96;114.782516;16.34;;;119.000000;19.03
115650429;21;114782523;16;115.6504294;20.96;114.7825228;16.34;;;119.000000;19.03
115650603;21;114782556;16;115.650603;20.97;114.7825563;16.35;;;120.000000;19.03
115674735;21;114784169;16;115.674735;20.97;114.7841692;16.35;;;120.000000;19.03
115696443;21;114784179;16;115.6964433;20.97;114.7841791;16.35;;;120.000000;19.03
115697481;21;114797258;16;115.6974813;20.97;114.7972581;16.35;;;120.000000;19.03
115764842;21;114807706;16;115.7648417;20.97;114.8077063;16.35;;;120.000000;19.04
115787664;21;114834935;16;115.7876636;20.97;114.8349348;16.35;;;120.000000;19.04
116022043;21;114841689;16;116.0220432;20.97;114.8416889;16.35;;;120.000000;19.04
116244610;21;114880362;16;116.2446101;20.97;114.8803624;16.35;;;120.000000;19.04
116256059;21;114881589;16;116.2560592;20.98;114.8815891;16.35;;;120.000000;19.04
116258184;21;114888089;16;116.2581837;20.98;114.8880892;16.35;;;120.000000;19.04
116551763;21;114924309;16;116.5517633;20.98;114.9243092;16.35;;;120.000000;19.05
116586263;21;114927884;16;116.5862629;20.98;114.9278842;16.35;;;120.000000;19.05
116590932;21;114942311;16;116.5909317;20.98;114.9423108;16.35;;;120.000000;19.05
116635554;21;114944387;16;116.6355537;20.98;114.9443874;16.35;;;120.000000;19.05
116858404;21;114944394;16;116.8584044;20.99;114.9443936;16.36;;;120.000000;19.06
116860380;21;114944408;16;116.86038;20.99;114.9444076;16.36;;;120.000000;19.06
116890607;21;114946616;16;116.8906071;20.99;114.9466159;16.36;;;120.000000;19.06
116961693;21;114946625;16;116.9616931;20.99;114.9466248;16.36;;;120.000000;19.06
117081209;21;114946724;16;117.0812094;20.99;114.9467241;16.36;;;120.000000;19.06
117094220;21;114946731;16;117.0942199;20.99;114.9467307;16.36;;;120.000000;19.06
117094733;21;114962264;16;117.0947326;20.99;114.962264;16.36;;;120.000000;19.07
117099787;21;114991357;16;117.0997873;20.99;114.9913572;16.36;;;120.000000;19.07
117127031;21;115044488;16;117.1270306;20.99;115.0444884;16.36;;;120.000000;19.07
117200529;21;115050209;16;117.2005292;20.99;115.0502088;16.36;;;120.000000;19.07
117267207;21;115050273;16;117.2672069;21;115.0502732;16.36;;;120.000000;19.07
117267399;21;115151903;16;117.2673988;21;115.1519032;16.36;;;120.000000;19.07
117267654;21;115151906;16;117.2676541;21;115.1519063;16.36;;;120.000000;19.07
117267673;21;115154380;16;117.267673;21;115.1543805;16.37;;;120.000000;19.07
117270911;21;115160691;16;117.2709114;21;115.1606909;16.37;;;120.000000;19.08
117274066;21;115160847;16;117.2740665;21;115.160847;16.37;;;120.000000;19.08
117280821;21;115160891;16;117.2808206;21.01;115.1608913;16.37;;;120.000000;19.08
117280905;21;115162764;16;117.2809049;21.01;115.1627638;16.37;;;120.000000;19.08
117290937;21;115166665;16;117.2909367;21.01;115.1666646;16.37;;;120.000000;19.08
117291056;21;115166685;16;117.2910562;21.01;115.1666848;16.37;;;120.000000;19.09
117355815;21;115168357;16;117.3558152;21.01;115.1683573;16.37;;;120.000000;19.09
117440296;21;115169264;16;117.4402958;21.01;115.169264;16.37;;;120.000000;19.09
117452876;21;115169782;16;117.4528763;21.01;115.1697816;16.37;;;120.000000;19.09
117455856;21;115171629;16;117.4558564;21.01;115.1716294;16.37;;;120.000000;19.09
117460883;21;115172889;16;117.4608828;21.02;115.1728888;16.38;;;120.000000;19.09
117463635;21;115344645;16;117.4636348;21.02;115.3446453;16.38;;;120.000000;19.09
117464772;21;115357953;16;117.4647717;21.02;115.357953;16.38;;;120.000000;19.10
117464890;21;115358092;16;117.46489;21.02;115.3580922;16.38;;;120.000000;19.10
117464908;21;115359957;16;117.4649077;21.03;115.359957;16.38;;;120.000000;19.10
117473310;21;115360155;16;117.4733098;21.04;115.3601552;16.38;;;120.000000;19.10
117474411;21;115400819;16;117.4744114;21.04;115.4008187;16.38;;;121.000000;19.10
117499317;21;115401475;16;117.4993168;21.04;115.4014747;16.38;;;121.000000;19.10
117513587;21;115406299;16;117.5135868;21.05;115.4062993;16.39;;;121.000000;19.10
118656663;21;115421000;16;118.6566634;21.05;115.4210001;16.39;;;121.000000;19.10
