Energy supply [PWh];LCOE_Uniform discount rate [$/MWh];Energy supply [PWh];LCOE_Country-specific discount rate [$/MWh];World demand [PWh]
6.226510233;12.43125384;17.53041494;13.74456526;
6.227806917;12.43198206;17.5674944;13.75939041;
6.288119554;12.43480578;17.83403566;13.76980779;
6.471243456;12.43489555;17.95302152;13.77350128;
6.540487003;12.43586075;17.98065003;13.78083315;
6.540495899;12.43612721;18.03623454;13.79559897;
6.873492848;12.43640935;18.06126335;13.80585216;
6.962158226;12.43759779;18.09357525;13.81191209;
7.226467136;12.43865185;18.12079433;13.82668669;
7.282546684;12.43868;18.19069774;13.8321293;
7.691887635;12.43929617;18.24183646;13.83423369;
8.024892434;12.43946411;18.24184096;13.83844863;
8.240496959;12.43971242;18.2757252;13.84472849;
8.240501421;12.44028565;18.27888083;13.86788684;
8.755261266;12.44144117;18.2835032;13.88633918;
8.863017422;12.44190287;18.40859708;13.90548352;
9.016049064;12.44243344;18.59873677;13.90742564;
9.163768715;12.44314438;18.60141589;13.91465724;
9.222103818;12.4433104;18.63516398;13.91641985;
9.327921926;12.44586559;18.63714549;13.91763031;
9.339228976;12.44619465;18.70823652;13.91797532;
9.420365026;12.44687778;18.72787828;13.92167357;
9.44113131;12.44932155;18.72791467;13.92299374;
10.06591522;12.45520596;18.73683276;13.93503307;
10.11499202;12.45609899;18.8417824;13.94252763;
10.1939144;12.45869986;18.84548276;13.94371166;
10.22690302;12.4763703;18.85542423;13.94802589;
10.24350452;12.47665877;18.93830634;13.95059883;
10.24612945;12.47725639;19.15415527;13.96659404;
10.24618782;12.48241762;19.18956701;13.96798871;
10.42647685;12.53772543;19.23864381;13.97039322;
10.42651324;12.53789907;19.23865271;13.99775255;
10.73685599;12.5387593;19.28284272;14.03227526;
10.84866362;12.53962738;19.38521383;14.04244741;
10.93917986;12.54055295;19.39046073;14.04397484;
11.08966275;12.54109243;19.57863051;14.04662741;
11.11903395;12.54149579;19.62144956;14.05821885;
11.347279;12.54265651;19.6678355;14.06663584;
12.45512857;12.54333005;19.75847914;14.06841561;
12.77724413;12.5434149;19.80231321;14.07008598;
12.86788777;12.54349643;19.81032458;14.07438627;
12.92095641;12.54410525;19.81257268;14.08460265;
12.93661089;12.5444458;20.29038584;14.09551046;
12.98044496;12.54498575;20.35911291;14.09584913;
13.00193396;12.54499186;20.36800472;14.11835078;
13.4738851;12.54703131;20.36801791;14.16172646;
13.47613054;12.54781818;20.36804687;14.16584633;
13.62395544;12.54948377;20.39199011;14.16616914;
13.81078534;12.5502778;20.48558753;14.18009752;
13.96465244;12.55030995;20.48649109;14.18302095;
14.23153485;12.55040199;20.50010178;14.18440181;
14.3367482;12.55102489;20.77805111;14.18572772;
14.90557169;12.55181826;20.82303299;14.19335697;
15.2144788;12.55431616;20.86252901;14.19377813;
15.60234544;12.55619871;20.86305642;14.20339515;
15.72195637;12.55690257;20.96980053;14.20352926;
15.88806245;12.55935795;21.01327977;14.20424521;
16.08634839;12.55980246;21.06703658;14.2098538;
16.09697924;12.56038864;21.20055717;14.2119938;
16.13879698;12.56935085;21.73262112;14.22252437;
16.13913939;12.57666727;21.73267007;14.25734093;
16.13915258;12.58180777;21.73834411;14.30608355;
16.15067598;12.5958481;21.76225273;14.31588661;
16.15331749;12.62868039;21.84728564;14.3227294;
16.17726073;12.63065415;22.03151929;14.32658535;
16.66787212;12.64348664;22.13421644;14.32878371;
16.67311902;12.64684466;22.13671176;14.32902015;
17.175075;12.64919312;22.36149091;14.33517901;
17.38848544;12.64975316;22.4226052;14.33669799;
17.533652;12.65061526;22.4361513;14.33683045;
17.58522827;12.65151777;22.44828964;14.339754;
17.6112657;12.65366189;22.99349331;14.36053941;
17.6484588;12.65428911;22.99453718;14.36568749;
17.68148257;12.65544956;23.03851817;14.36751933;
17.76527823;12.65570782;23.07349579;14.36821195;
17.85523003;12.65596176;23.07786786;14.40612432;
17.87157937;12.65677893;23.07790696;14.41643617;
18.118655;12.65717991;23.10154471;14.42487626;
18.25769241;12.65992571;23.13708002;14.44443403;
18.46816869;12.66070843;23.52676571;14.45634681;
18.50523746;12.6616333;23.54355086;14.47569621;
18.6433147;12.66243701;23.63675081;14.4819231;
18.82975079;12.66290232;23.78780361;14.48439625;
19.17637242;12.66294848;23.91090436;14.48981218;
19.28311653;12.6639647;23.99458672;14.49013542;
19.71278989;12.66415264;23.99463673;14.49786981;
20.27372455;12.66421871;24.43586492;14.50205368;
21.04129655;12.66564738;24.47908666;14.51012263;
21.14137603;12.66649728;24.58667394;14.51644057;
21.29214556;12.66740938;24.58950105;14.51818019;
21.313098;12.66770703;24.58960396;14.51860071;
21.88864521;12.66986173;24.59952298;14.5186736;
22.24943299;12.6713623;24.62028926;14.56331883;
22.24962205;12.67150256;24.62697611;14.56935984;
22.38314264;12.67151174;24.84116091;14.57707447;
22.4491175;12.67700583;24.86786204;14.57802226;
22.45070641;12.69959039;24.87857475;14.58571237;
22.45101883;12.71642808;25.1527164;14.58644088;
22.45103058;12.71694955;25.15272385;14.6077466;
22.45104802;12.7360733;25.15950331;14.62134877;
22.60979412;12.76104099;25.26767079;14.62511129;
22.6430744;12.76721507;25.36893958;14.62958654;
22.99178067;12.76747034;25.37301966;14.63059956;
23.01093626;12.76871542;25.46752127;14.63266971;
23.10154257;12.76896595;25.50945451;14.63489432;
23.18745168;12.7695192;25.51060682;14.63525854;
23.34745872;12.77016463;25.56989227;14.64840036;
23.43249163;12.77024436;25.65547149;14.6486518;
23.75430907;12.77074557;26.25858896;14.64915049;
23.75521264;12.77205812;26.2866741;14.66257983;
23.93481288;12.77214379;26.28668829;14.66995785;
24.15170519;12.77227092;26.30234277;14.67459596;
24.20829136;12.7727274;26.46434644;14.71221529;
24.32924516;12.77304903;26.48615511;14.71812037;
24.82997124;12.77460351;26.59568812;14.72196099;
24.88611579;12.77520637;26.61749745;14.72385375;
25.0494631;12.77529615;26.70991071;14.74558642;
25.23760486;12.77573753;26.71830479;14.7476539;
25.46333353;12.77707933;26.72477214;14.75323761;
25.46439791;12.7776019;26.72506985;14.75512351;
26.382788;12.77909043;26.81461467;14.77366299;
26.79669003;12.77920001;26.85563369;14.77847012;
26.90760705;12.77927263;27.01191379;14.78327781;
27.00967946;12.78061432;27.07687419;14.78705419;
27.23445861;12.78134452;27.51465214;14.7878097;
27.24800471;12.78281695;27.6118564;14.79114604;
27.29868813;12.78464972;27.61189489;14.79803898;
27.35069647;12.7847239;27.61358344;14.80007358;
27.3717976;12.78634115;27.68749525;14.80292865;
27.39822899;12.7870795;27.70844769;14.81878797;
27.41739706;12.78866016;27.70872178;14.83630784;
27.48700134;12.78959086;27.71813486;14.8386961;
27.49013732;12.79343405;27.90125876;14.84109813;
27.49050749;12.79507753;27.90126244;14.86382635;
27.49360382;12.79529568;27.95373221;14.86540601;
27.67931863;12.79766613;28.01131673;14.86692685;
27.73289045;12.80539169;28.02033443;14.87067012;
27.75398212;12.81140658;28.03965384;14.89175348;
27.75563272;12.83440405;28.04662787;14.89926597;
27.75674083;12.83898805;28.05064477;14.90615233;
27.97928107;12.86376806;28.15385394;14.92879563;
27.98011238;12.87513934;28.15455002;14.93145542;
28.17272827;12.8775305;28.62472301;14.93259592;
28.22405931;12.87832339;28.71112086;14.93394091;
28.25959463;12.87875705;28.74440114;14.93519329;
28.27751314;12.88046878;28.8295705;14.93860963;
